price,year,mileage,tax,steering,condition,owners,model,volume,power,transmission,engine,fuel,drive,acceleration,consumption,country,class,number seats,length,width,height,wheelbase,clearance,wheel size,fuel capacity,weight,gears,maximum speed,fuel consumption city/highway/combined,ecological,co2,engine capacity,boost type,cylinders,cylinder,compression,engine model,timing
2 470 754 ₽,2023,15 000 км,30 240 ₽ / год,Левый,Не требует ремонта,nan,Hongqi,2.0,252,Автомат,Бензиновый,АИ-95,Передний,7.6,7.34,Китай,D,5,4785,1905,1700,2870,200,"235/60 R18, 255/45 R20",nan,2205,8,nan,-/-/7.34,nan,nan,1989,Турбонаддув,4,4,nan,CA4GC20TD-35,DOHC
700 000 ₽,2005,200 000 км,48 900 ₽ / год,Левый,Не требует ремонта,nan,nan,5.7,326,Автомат,Бензиновый,АИ-95,Полный,7.4,15.4,США,J,5,4750,1870,1740,2780,209,"235/65 R17, 245/60 R18, 245/65 R17",80,2750,5,208,21.3/12.0/15.4,nan,nan,5654,нет,8,2,9.5,nan,OHV
2 449 150 ₽,2023,10 000 км,13 440 ₽ / год,Левый,Не требует ремонта,nan,Hongqi,2.0,224,Автомат,Бензиновый,АИ-95,Передний,7.8,nan,Китай,D,5,4988,1875,1470,2920,nan,nan,nan,nan,8,nan,nan,nan,nan,1989,Турбонаддув,4,4,nan,CA4GC20TD,DOHC
6 150 000 ₽,2021,50 300 км,18 675 ₽ / год,Левый,Не требует ремонта,nan,Toyota,3.5,249,Автомат,Бензиновый,АИ-95,Полный,8.8,9.5,Япония,E,7,4966,1930,1755,2890,204,"235/55 R20, 235/65 R18",68,2700,8,180,12.8/7.6/9.5,Euro 5,nan,3456,нет,6,4,11.8,2GR-FKS,DOHC
3 249 184 ₽,2025,17 км,38 160 ₽ / год,Левый,Не требует ремонта,nan,nan,1.5,318,Вариатор,Гибридный,АИ-92,Передний,7.9,16.8,Китай,D,5,4775,1890,1670,2765,nan,235/50 R19,60,2265,nan,180,-/-/3.93,nan,nan,1498,нет,4,4,nan,BYD472QC,DOHC
8 535 929 ₽,2025,17 км,73 440 ₽ / год,Левый,Не требует ремонта,nan,Zeekr,nan,612,Автомат,Электро,nan,Полный,4.5,17.8,Китай,M,"7, 6, 4",5217,2024,1812,3205,142,255/50 R19,nan,3477,1,210,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
990 000 ₽,2004,248 000 км,4 127 ₽ / год,Правый,Не требует ремонта,nan,Toyota,2.4,131,Вариатор,Гибридный,АИ-95,Полный,nan,5.8,Япония,M,7,4865,1840,1900,2950,160,225/55 R17,70,2440,nan,nan,-/-/5.8,nan,nan,2362,нет,4,4,12.5,2az-fxe,DOHC
3 327 724 ₽,2025,17 км,32 640 ₽ / год,Левый,Не требует ремонта,nan,nan,1.5,272,Автомат,Бензиновый,АИ-92,Передний,6.9,15.0,Китай,E,5,4995,1910,1495,2920,nan,"245/50 R18, 245/45 R19",50,2285,1,200,-/-/3.8,nan,nan,1498,Турбонаддув,4,4,12.5,472ZQB,DOHC
3 035 528 ₽,2025,17 км,13 080 ₽ / год,Левый,Не требует ремонта,nan,nan,1.5,218,Вариатор,Гибридный,АИ-92,Передний,7.5,13.6,Китай,C,5,4830,1900,1495,2790,nan,225/55 R17,65,2150,nan,180,-/-/4.0,nan,nan,1498,нет,4,4,nan,472QC,DOHC
30 800 000 ₽,2025,1 км,81 150 ₽ / год,Левый,Не требует ремонта,nan,Porsche,3.6,541,Робот,Гибридный,АИ-98,Полный,3.0,10.5,Германия,S,4,4553,1852,1295,2450,118,nan,63,1965,8,312,17.8/9.1/10.5,Euro 6,251,3591,Турбонаддув,6,4,10,9A3B6,DOHC
1 763 781 ₽,2025,17 км,2 260 ₽ / год,Левый,Не требует ремонта,nan,Volkswagen,1.5,113,Автомат,Бензиновый,АИ-95,Передний,14.0,5.9,Германия,C,5,4678,1806,1474,2688,nan,"195/65 R15, 205/55 R16",51,1755,6,190,-/-/5.9,nan,nan,1498,нет,4,4,nan,EA211-DMB,DOHC
6 629 438 ₽,2025,17 км,68 520 ₽ / год,Левый,Не требует ремонта,nan,Voyah,1.5,571,Автомат,Гибридный,АИ-95,Полный,5.9,20.9,Китай,M,"4, 7",5315,1985,1820,3200,150,255/50 R20,65,3177,1,203,-/-/5.42,nan,nan,1497,Турбонаддув,4,4,nan,DFMC15TE3,DOHC
12 499 900 ₽,2025,50 км,18 750 ₽ / год,Левый,Не требует ремонта,nan,Land,2.0,250,Автомат,Бензиновый,АИ-95,Полный,7.5,9.9,Великобритания,D,5,4797,2041,1683,2874,213,235/65 R18,83,2550,8,217,-/-/9.9,Euro 6,226,1997,Турбонаддув,4,4,10.5,nan,DOHC
4 800 000 ₽,2020,60 000 км,45 000 ₽ / год,Левый,Не требует ремонта,nan,Lexus,3.5,300,Автомат,Бензиновый,АИ-95,Полный,8.4,9.0,Япония,E,5,4890,1895,1705,2790,200,"235/55 R20, 235/65 R18",65,2575,8,200,12.7/6.9/9.0,Euro 6,nan,3456,нет,6,4,11.8,2GR-FKS,DOHC
8 740 000 ₽,2023,4 049 км,76 500 ₽ / год,Левый,Не требует ремонта,nan,nan,3.0,510,Автомат,Бензиновый,АИ-98,Полный,3.8,10.8,Германия,D,5,4716,1897,1669,2864,203,"255/40 R21, 265/40 R21",65,2500,8,250,-/-/10.8,Euro 6,246,2993,Турбонаддув,6,4,9.3,S58B30,DOHC
3 830 585 ₽,2021,45 000 км,47 040 ₽ / год,Левый,Не требует ремонта,nan,Volvo,2.0,392,Автомат,Гибридный,АИ-95,Полный,5.8,2.1,Швеция,E,"4, 5, 7",4950,1923,1776,2984,238,235/60 R18,71,3010,8,230,-/-/2.1,Euro 6,49,1969,Турбонаддув,4,4,10.3,B4204T35,DOHC
700 000 ₽,2007,197 837 км,4 442 ₽ / год,Левый,Не требует ремонта,nan,Nissan,2.0,141,Вариатор,Бензиновый,АИ-95,Полный,11.9,8.5,Япония,D,5,4630,1785,1685,2630,200,"215/60 R17, 215/65 R16",65,2050,nan,172,10.8/7.2/8.5,nan,nan,1997,нет,4,4,10.2,nan,DOHC
820 000 ₽,2005,120 000 км,37 800 ₽ / год,Правый,Не требует ремонта,nan,nan,3.5,315,Автомат,Бензиновый,АИ-95,Задний,nan,10.0,Япония,E,5,4840,1780,1470,2850,155,215/55 R17,71,1895,6,nan,-/-/10.0,nan,nan,3456,нет,6,4,10.8,2gr-fse,DOHC
3 120 690 ₽,2021,17 700 км,30 240 ₽ / год,Левый,Не требует ремонта,nan,Hongqi,2.0,252,Робот,Бензиновый,АИ-95,Задний,7.8,7.1,Китай,F,5,5137,1904,1493,3060,nan,"235/50 R18, 245/45 R19",62,2325,7,230,9.7/5.8/7.1,nan,nan,1989,Турбонаддув,4,4,nan,CA4GC20TD-31,DOHC
3 550 000 ₽,2020,88 000 км,4 725 ₽ / год,Левый,Не требует ремонта,nan,nan,2.0,150,Автомат,Дизельный,ДТ,Полный,11.4,5.8,Великобритания,D,"5, 7",4597,2069,1727,2741,212,"235/55 R19, 235/60 R18",65,2590,9,190,-/-/5.8,Euro 6,148,1999,Турбонаддув,4,4,15.5,nan,DOHC
5 949 632 ₽,2021,54 000 км,48 000 ₽ / год,Левый,Не требует ремонта,nan,Land,3.0,400,Автомат,Бензиновый,АИ-95,Полный,6.1,9.9,Великобритания,J,"5, 7",5018,1996,1967,3022,218-291,"255/60 R20, 255/65 R19, 255/70 R18",90,3165,8,208,12.5/8.4/9.9,Euro 6,225,2996,Турбонаддув,6,4,10.5,nan,DOHC
850 000 ₽,2005,205 000 км,58 500 ₽ / год,Правый,Не требует ремонта,nan,nan,4.2,390,Автомат,Бензиновый,АИ-95,Полный,7.6,15.9,Великобритания,J,5,4790,1930,1785,2745,230,"255/50 R19, 275/40 R20",88,3125,6,225,22.4/11.7/15.9,nan,nan,4196,Компрессор,8,4,9.1,nan,DOHC
3 120 690 ₽,2021,17 700 км,30 240 ₽ / год,Левый,Не требует ремонта,nan,Hongqi,2.0,252,Робот,Бензиновый,АИ-95,Задний,7.8,7.1,Китай,F,5,5137,1904,1493,3060,nan,"235/50 R18, 245/45 R19",62,2325,7,230,9.7/5.8/7.1,nan,nan,1989,Турбонаддув,4,4,nan,CA4GC20TD-31,DOHC
2 470 754 ₽,2023,15 000 км,30 240 ₽ / год,Левый,Не требует ремонта,nan,Hongqi,2.0,252,Автомат,Бензиновый,АИ-95,Передний,7.6,7.34,Китай,D,5,4785,1905,1700,2870,200,"235/60 R18, 255/45 R20",nan,2205,8,nan,-/-/7.34,nan,nan,1989,Турбонаддув,4,4,nan,CA4GC20TD-35,DOHC
700 000 ₽,2005,200 000 км,48 900 ₽ / год,Левый,Не требует ремонта,nan,Jeep,5.7,326,Автомат,Бензиновый,АИ-95,Полный,7.4,15.4,США,J,5,4750,1870,1740,2780,209,"235/65 R17, 245/60 R18, 245/65 R17",80,2750,5,208,21.3/12.0/15.4,nan,nan,5654,нет,8,2,9.5,nan,OHV
2 449 150 ₽,2023,10 000 км,13 440 ₽ / год,Левый,Не требует ремонта,nan,Hongqi,2.0,224,Автомат,Бензиновый,АИ-95,Передний,7.8,nan,Китай,D,5,4988,1875,1470,2920,nan,nan,nan,nan,8,nan,nan,nan,nan,1989,Турбонаддув,4,4,nan,CA4GC20TD,DOHC
6 150 000 ₽,2021,50 300 км,18 675 ₽ / год,Левый,Не требует ремонта,nan,Toyota,3.5,249,Автомат,Бензиновый,АИ-95,Полный,8.8,9.5,Япония,E,7,4966,1930,1755,2890,204,"235/55 R20, 235/65 R18",68,2700,8,180,12.8/7.6/9.5,Euro 5,nan,3456,нет,6,4,11.8,2GR-FKS,DOHC
3 249 184 ₽,2025,17 км,38 160 ₽ / год,Левый,Не требует ремонта,nan,nan,1.5,318,Вариатор,Гибридный,АИ-92,Передний,7.9,16.8,Китай,D,5,4775,1890,1670,2765,nan,235/50 R19,60,2265,nan,180,-/-/3.93,nan,nan,1498,нет,4,4,nan,BYD472QC,DOHC
8 535 929 ₽,2025,17 км,73 440 ₽ / год,Левый,Не требует ремонта,nan,Zeekr,nan,612,Автомат,Электро,nan,Полный,4.5,17.8,Китай,M,"7, 6, 4",5217,2024,1812,3205,142,255/50 R19,nan,3477,1,210,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
990 000 ₽,2004,248 000 км,4 127 ₽ / год,Правый,Не требует ремонта,nan,nan,2.4,131,Вариатор,Гибридный,АИ-95,Полный,nan,5.8,Япония,M,7,4865,1840,1900,2950,160,225/55 R17,70,2440,nan,nan,-/-/5.8,nan,nan,2362,нет,4,4,12.5,2az-fxe,DOHC
3 327 724 ₽,2025,17 км,32 640 ₽ / год,Левый,Не требует ремонта,nan,BYD,1.5,272,Автомат,Бензиновый,АИ-92,Передний,6.9,15.0,Китай,E,5,4995,1910,1495,2920,nan,"245/50 R18, 245/45 R19",50,2285,1,200,-/-/3.8,nan,nan,1498,Турбонаддув,4,4,12.5,472ZQB,DOHC
3 035 528 ₽,2025,17 км,13 080 ₽ / год,Левый,Не требует ремонта,nan,nan,1.5,218,Вариатор,Гибридный,АИ-92,Передний,7.5,13.6,Китай,C,5,4830,1900,1495,2790,nan,225/55 R17,65,2150,nan,180,-/-/4.0,nan,nan,1498,нет,4,4,nan,472QC,DOHC
30 800 000 ₽,2025,1 км,81 150 ₽ / год,Левый,Не требует ремонта,nan,Porsche,3.6,541,Робот,Гибридный,АИ-98,Полный,3.0,10.5,Германия,S,4,4553,1852,1295,2450,118,nan,63,1965,8,312,17.8/9.1/10.5,Euro 6,251,3591,Турбонаддув,6,4,10,9A3B6,DOHC
1 763 781 ₽,2025,17 км,2 260 ₽ / год,Левый,Не требует ремонта,nan,Volkswagen,1.5,113,Автомат,Бензиновый,АИ-95,Передний,14.0,5.9,Германия,C,5,4678,1806,1474,2688,nan,"195/65 R15, 205/55 R16",51,1755,6,190,-/-/5.9,nan,nan,1498,нет,4,4,nan,EA211-DMB,DOHC
6 629 438 ₽,2025,17 км,68 520 ₽ / год,Левый,Не требует ремонта,nan,Voyah,1.5,571,Автомат,Гибридный,АИ-95,Полный,5.9,20.9,Китай,M,"4, 7",5315,1985,1820,3200,150,255/50 R20,65,3177,1,203,-/-/5.42,nan,nan,1497,Турбонаддув,4,4,nan,DFMC15TE3,DOHC
12 499 900 ₽,2025,50 км,18 750 ₽ / год,Левый,Не требует ремонта,nan,Land,2.0,250,Автомат,Бензиновый,АИ-95,Полный,7.5,9.9,Великобритания,D,5,4797,2041,1683,2874,213,235/65 R18,83,2550,8,217,-/-/9.9,Euro 6,226,1997,Турбонаддув,4,4,10.5,nan,DOHC
4 800 000 ₽,2020,60 000 км,45 000 ₽ / год,Левый,Не требует ремонта,nan,nan,3.5,300,Автомат,Бензиновый,АИ-95,Полный,8.4,9.0,Япония,E,5,4890,1895,1705,2790,200,"235/55 R20, 235/65 R18",65,2575,8,200,12.7/6.9/9.0,Euro 6,nan,3456,нет,6,4,11.8,2GR-FKS,DOHC
8 740 000 ₽,2023,4 049 км,76 500 ₽ / год,Левый,Не требует ремонта,nan,nan,3.0,510,Автомат,Бензиновый,АИ-98,Полный,3.8,10.8,Германия,D,5,4716,1897,1669,2864,203,"255/40 R21, 265/40 R21",65,2500,8,250,-/-/10.8,Euro 6,246,2993,Турбонаддув,6,4,9.3,S58B30,DOHC
3 830 585 ₽,2021,45 000 км,47 040 ₽ / год,Левый,Не требует ремонта,nan,Volvo,2.0,392,Автомат,Гибридный,АИ-95,Полный,5.8,2.1,Швеция,E,"4, 5, 7",4950,1923,1776,2984,238,235/60 R18,71,3010,8,230,-/-/2.1,Euro 6,49,1969,Турбонаддув,4,4,10.3,B4204T35,DOHC
700 000 ₽,2007,197 837 км,4 442 ₽ / год,Левый,Не требует ремонта,nan,nan,2.0,141,Вариатор,Бензиновый,АИ-95,Полный,11.9,8.5,Япония,D,5,4630,1785,1685,2630,200,"215/60 R17, 215/65 R16",65,2050,nan,172,10.8/7.2/8.5,nan,nan,1997,нет,4,4,10.2,nan,DOHC
820 000 ₽,2005,120 000 км,37 800 ₽ / год,Правый,Не требует ремонта,nan,nan,3.5,315,Автомат,Бензиновый,АИ-95,Задний,nan,10.0,Япония,E,5,4840,1780,1470,2850,155,215/55 R17,71,1895,6,nan,-/-/10.0,nan,nan,3456,нет,6,4,10.8,2gr-fse,DOHC
3 550 000 ₽,2020,88 000 км,4 725 ₽ / год,Левый,Не требует ремонта,nan,nan,2.0,150,Автомат,Дизельный,ДТ,Полный,11.4,5.8,Великобритания,D,"5, 7",4597,2069,1727,2741,212,"235/55 R19, 235/60 R18",65,2590,9,190,-/-/5.8,Euro 6,148,1999,Турбонаддув,4,4,15.5,nan,DOHC
5 949 632 ₽,2021,54 000 км,48 000 ₽ / год,Левый,Не требует ремонта,nan,Land,3.0,400,Автомат,Бензиновый,АИ-95,Полный,6.1,9.9,Великобритания,J,"5, 7",5018,1996,1967,3022,218-291,"255/60 R20, 255/65 R19, 255/70 R18",90,3165,8,208,12.5/8.4/9.9,Euro 6,225,2996,Турбонаддув,6,4,10.5,nan,DOHC
850 000 ₽,2005,205 000 км,58 500 ₽ / год,Правый,Не требует ремонта,nan,nan,4.2,390,Автомат,Бензиновый,АИ-95,Полный,7.6,15.9,Великобритания,J,5,4790,1930,1785,2745,230,"255/50 R19, 275/40 R20",88,3125,6,225,22.4/11.7/15.9,nan,nan,4196,Компрессор,8,4,9.1,nan,DOHC
2 470 754 ₽,2023,15 000 км,30 240 ₽ / год,Левый,Не требует ремонта,nan,Hongqi,2.0,252,Автомат,Бензиновый,АИ-95,Передний,7.6,7.34,Китай,D,5,4785,1905,1700,2870,200,"235/60 R18, 255/45 R20",nan,2205,8,nan,-/-/7.34,nan,nan,1989,Турбонаддув,4,4,nan,CA4GC20TD-35,DOHC
700 000 ₽,2005,200 000 км,48 900 ₽ / год,Левый,Не требует ремонта,nan,nan,5.7,326,Автомат,Бензиновый,АИ-95,Полный,7.4,15.4,США,J,5,4750,1870,1740,2780,209,"235/65 R17, 245/60 R18, 245/65 R17",80,2750,5,208,21.3/12.0/15.4,nan,nan,5654,нет,8,2,9.5,nan,OHV
2 449 150 ₽,2023,10 000 км,13 440 ₽ / год,Левый,Не требует ремонта,nan,Hongqi,2.0,224,Автомат,Бензиновый,АИ-95,Передний,7.8,nan,Китай,D,5,4988,1875,1470,2920,nan,nan,nan,nan,8,nan,nan,nan,nan,1989,Турбонаддув,4,4,nan,CA4GC20TD,DOHC
6 150 000 ₽,2021,50 300 км,18 675 ₽ / год,Левый,Не требует ремонта,nan,Toyota,3.5,249,Автомат,Бензиновый,АИ-95,Полный,8.8,9.5,Япония,E,7,4966,1930,1755,2890,204,"235/55 R20, 235/65 R18",68,2700,8,180,12.8/7.6/9.5,Euro 5,nan,3456,нет,6,4,11.8,2GR-FKS,DOHC
3 249 184 ₽,2025,17 км,38 160 ₽ / год,Левый,Не требует ремонта,nan,nan,1.5,318,Вариатор,Гибридный,АИ-92,Передний,7.9,16.8,Китай,D,5,4775,1890,1670,2765,nan,235/50 R19,60,2265,nan,180,-/-/3.93,nan,nan,1498,нет,4,4,nan,BYD472QC,DOHC
8 535 929 ₽,2025,17 км,73 440 ₽ / год,Левый,Не требует ремонта,nan,Zeekr,nan,612,Автомат,Электро,nan,Полный,4.5,17.8,Китай,M,"7, 6, 4",5217,2024,1812,3205,142,255/50 R19,nan,3477,1,210,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
990 000 ₽,2004,248 000 км,4 127 ₽ / год,Правый,Не требует ремонта,nan,Toyota,2.4,131,Вариатор,Гибридный,АИ-95,Полный,nan,5.8,Япония,M,7,4865,1840,1900,2950,160,225/55 R17,70,2440,nan,nan,-/-/5.8,nan,nan,2362,нет,4,4,12.5,2az-fxe,DOHC
3 327 724 ₽,2025,17 км,32 640 ₽ / год,Левый,Не требует ремонта,nan,BYD,1.5,272,Автомат,Бензиновый,АИ-92,Передний,6.9,15.0,Китай,E,5,4995,1910,1495,2920,nan,"245/50 R18, 245/45 R19",50,2285,1,200,-/-/3.8,nan,nan,1498,Турбонаддув,4,4,12.5,472ZQB,DOHC
3 035 528 ₽,2025,17 км,13 080 ₽ / год,Левый,Не требует ремонта,nan,BYD,1.5,218,Вариатор,Гибридный,АИ-92,Передний,7.5,13.6,Китай,C,5,4830,1900,1495,2790,nan,225/55 R17,65,2150,nan,180,-/-/4.0,nan,nan,1498,нет,4,4,nan,472QC,DOHC
30 800 000 ₽,2025,1 км,81 150 ₽ / год,Левый,Не требует ремонта,nan,Porsche,3.6,541,Робот,Гибридный,АИ-98,Полный,3.0,10.5,Германия,S,4,4553,1852,1295,2450,118,nan,63,1965,8,312,17.8/9.1/10.5,Euro 6,251,3591,Турбонаддув,6,4,10,9A3B6,DOHC
1 763 781 ₽,2025,17 км,2 260 ₽ / год,Левый,Не требует ремонта,nan,Volkswagen,1.5,113,Автомат,Бензиновый,АИ-95,Передний,14.0,5.9,Германия,C,5,4678,1806,1474,2688,nan,"195/65 R15, 205/55 R16",51,1755,6,190,-/-/5.9,nan,nan,1498,нет,4,4,nan,EA211-DMB,DOHC
6 629 438 ₽,2025,17 км,68 520 ₽ / год,Левый,Не требует ремонта,nan,Voyah,1.5,571,Автомат,Гибридный,АИ-95,Полный,5.9,20.9,Китай,M,"4, 7",5315,1985,1820,3200,150,255/50 R20,65,3177,1,203,-/-/5.42,nan,nan,1497,Турбонаддув,4,4,nan,DFMC15TE3,DOHC
12 499 900 ₽,2025,50 км,18 750 ₽ / год,Левый,Не требует ремонта,nan,Land,2.0,250,Автомат,Бензиновый,АИ-95,Полный,7.5,9.9,Великобритания,D,5,4797,2041,1683,2874,213,235/65 R18,83,2550,8,217,-/-/9.9,Euro 6,226,1997,Турбонаддув,4,4,10.5,nan,DOHC
4 800 000 ₽,2020,60 000 км,45 000 ₽ / год,Левый,Не требует ремонта,nan,nan,3.5,300,Автомат,Бензиновый,АИ-95,Полный,8.4,9.0,Япония,E,5,4890,1895,1705,2790,200,"235/55 R20, 235/65 R18",65,2575,8,200,12.7/6.9/9.0,Euro 6,nan,3456,нет,6,4,11.8,2GR-FKS,DOHC
8 740 000 ₽,2023,4 049 км,76 500 ₽ / год,Левый,Не требует ремонта,nan,BMW,3.0,510,Автомат,Бензиновый,АИ-98,Полный,3.8,10.8,Германия,D,5,4716,1897,1669,2864,203,"255/40 R21, 265/40 R21",65,2500,8,250,-/-/10.8,Euro 6,246,2993,Турбонаддув,6,4,9.3,S58B30,DOHC
3 830 585 ₽,2021,45 000 км,47 040 ₽ / год,Левый,Не требует ремонта,nan,nan,2.0,392,Автомат,Гибридный,АИ-95,Полный,5.8,2.1,Швеция,E,"4, 5, 7",4950,1923,1776,2984,238,235/60 R18,71,3010,8,230,-/-/2.1,Euro 6,49,1969,Турбонаддув,4,4,10.3,B4204T35,DOHC
700 000 ₽,2007,197 837 км,4 442 ₽ / год,Левый,Не требует ремонта,nan,Nissan,2.0,141,Вариатор,Бензиновый,АИ-95,Полный,11.9,8.5,Япония,D,5,4630,1785,1685,2630,200,"215/60 R17, 215/65 R16",65,2050,nan,172,10.8/7.2/8.5,nan,nan,1997,нет,4,4,10.2,nan,DOHC
